478,Jimmy Hollywood (1994),Comedy|Crime|Drama
901,Funny Face (1957),Comedy|Musical
1343,Cape Fear (1991),Thriller
2151,"Gods Must Be Crazy II, The (1989)",Comedy
3074,Jeremiah Johnson (1972),Western
4873,Waking Life (2001),Animation|Drama|Fantasy
6733,I'm Going Home (Je rentre à la maison) (2001),Comedy|Drama
8604,Taxi (1998),Action|Comedy
56561,10 Questions for the Dalai Lama (2006),Documentary
62394,Max Payne (2008),Action|Crime|Drama|Thriller
80566,"Rocket from Calabuch, The (Calabuch) (1956)",Comedy
82304,"Mirror, The (Ayneh) (1997)",Drama
89990,"Novena, The (La neuvaine) (2005)",Drama
92243,"Flowers of War, The (Jin líng shí san chai) (2011)",Drama|War
107350,Escape Fire: The Fight to Rescue American Healthcare (2012),Documentary
